hotel;price;puntuacion;distancia_centro;descripcion;;;;;;;;;;;
HOTEL RESIDENCIAL CAMACHO;$ 798.363;7,1;a 0,8 km del centro;Habitación Doble Estándar con baño compartido - 2 camas;;;;;;;;;;;
Viaggiato Duarte;$ 1.311.127;9,3;a 1,8 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Hotel Petit;$ 1.111.124;7;a 2 km del centro;Habitación Doble;;;;;;;;;;;
Convivir Departamentos;$ 1.000.012;7,7;a 11,2 km del centro;Departamento;;;;;;;;;;;
Rent a Flat;$ 1.589.228;9,2;a 1,3 km del centro;Departamento de 1 dormitorio con balcón;;;;;;;;;;;
Departamentos Rondeau By Lugar;$ 1.220.947;7,6;a 0,7 km del centro;Departamento Estudio;;;;;;;;;;;
Go Hostel;$ 817.788;7,8;a 1,6 km del centro;Habitación Triple;;;;;;;;;;;
Apartamentos Santa Rosa 2 B T1;$ 1.288.813;8,3;a 3,3 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Link Cordoba Hostel;$ 721.975;7,8;a 0,8 km del centro;Habitación Doble Estándar - 2 camas;;;;;;;;;;;
Córdoba Te Espera;$ 656.615;8,5;a 2 km del centro;Habitación Doble - 1 o 2 camas;;;;;;;;;;;
Amplio depto 2 Dorm Nva Cordoba;$ 851.176;N/A;a 1,1 km del centro;Departamento de 2 dormitorios;;;;;;;;;;;
Departamento en Alta Córdoba con patio;$ 671.613;9,5;a 2,2 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Departamento en Barrio Alberdi;$ 587.661;8;a 3,6 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Exclusivo Duplex Atenea I;$ 778.903;9,5;a 1 km del centro;Departamento de 2 dormitorios;;;;;;;;;;;
Alquiler Temporal en Nueva Córdoba!;$ 641.983;8,9;a 1,1 km del centro;Habitación Doble;;;;;;;;;;;
Cómodo Depto en Nueva Cordoba;$ 818.940;8;a 0,9 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Calasanz;$ 795.071;9,7;a 1,3 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Departamento luminoso;$ 629.637;N/A;a 2,4 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Monoambiente Nva Cba;$ 734.577;4;a 1,1 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Studio Chacabuco;$ 909.933;5,8;a 0,6 km del centro;Loft;;;;;;;;;;;
Departamento 1 habitación;$ 755.565;8;a 0,5 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Habitación para 2 personas con baño privado;$ 577.785;5,8;a 2,7 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Dean Funes 1 Habitación;$ 671.613;1;a 3,5 km del centro;Departamento de 2 dormitorios;;;;;;;;;;;
DPTO 3 CUADRAS SANATORIO ALLENDE - NVA CBA;$ 1.143.132;7,4;a 1,6 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
metros Nuevo Centro shopping 2;$ 680.255;10;a 2,2 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
HOUSING CORDOBA - Monoambiente;$ 784.646;10;a 1,6 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Dpto en Córdoba capital;$ 1.111.124;9;a 1,1 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Los Sueños se cumplen;$ 850.134;7;a 0,5 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Dpto Ambrosio Olmos c/pileta; gym; asadores; espacios verdes; etc;$ 1.179.712;N/A;a 2 km del centro;Departamento de 1 dormitorio;;;;;;;
Departamento con kitchenet. Entrada independiente.;$ 734.577;9;a 3,6 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Cómodo y completo en el centro departamento;$ 629.637;1;a 1,2 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Apartamento Alberdi Chic C;$ 1.045.280;10;a 1,3 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Departamentos en Barrio Gral Paz a pocos metros de clínicas;$ 944.456;10;a 2,1 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Departamento cómodo cerca de todo;$ 703.712;1;a 1,3 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Viaggiato Pio X;$ 800.010;8,5;a 1,5 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Moderno departamento y cómodo cerca de todo;$ 1.000.012;5,4;a 1,3 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
ANIMUS Home; Nva Cba;$ 944.456;9,4;a 0,9 km del centro;Departamento de 1 dormitorio;;;;;;;;;;
1080 Apartments;$ 888.899;6,2;a 1,5 km del centro;Departamento;;;;;;;;;;;
Cofico apart;$ 944.456;9,5;a 1,9 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Nueva Cordoba C/ pileta y asadores - DEPARTAMENTO PREMIUM;$ 1.243.728;8,5;a 1,1 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Dpto p 3 en pleno Nva. Córdoba;$ 922.069;9;a 0,7 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Departamento cómodo muy cerca de todo;$ 696.305;7,6;a 2,8 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Dpto Bv. San Juan - Córdoba;$ 944.456;7,8;a 1,2 km del centro;Departamento de 2 dormitorios;;;;;;;;;;;
Candelaria;$ 1.244.459;9,8;a 2,9 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Edificio La Toma Alto Alberdi Córdoba Argentina;$ 1.039.025;9;a 3,3 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Departamento interno con dos camas individuales;$ 692.601;9;a 2,4 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
pilay;$ 1.030.136;6,8;a 1,7 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
No está disponible no alquilar;$ 1.049.395;10;a 1,6 km del centro;Departamento de 2 dormitorios;;;;;;;;;;;
Temporarios Barrio General Paz;$ 1.111.124;8,8;a 2,1 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Alojamiento Cba Observatorio;$ 822.232;8,8;a 2 km del centro;Departamento con balcón;;;;;;;;;;;
DPTO C/PILE ASADOR QUINCHO - VISTA A LAS SIERRAS;$ 1.165.995;8,9;a 1,8 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Art & cozy home: ‘studiotubarca’;$ 839.516;1;a 500 m del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Gran Parana;$ 877.047;N/A;a 1 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
-El descanso-;$ 1.067.027;7;a 5 km del centro;Departamento de 2 dormitorios;;;;;;;;;;;
Departamentos General Paz by Lugar;$ 1.165.263;10;a 1,8 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Viaggiato Catamarca;$ 1.288.904;8,8;a 2,7 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Departamento Traful;$ 776.552;N/A;a 2,4 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
mariano moreno;$ 821.491;5,9;a 1,6 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Cascadas Departamentos;$ 960.231;6,6;a 2,3 km del centro;Departamento - Planta alta;;;;;;;;;;;
Temporary Home 4 Pax Centro zona Capitalinas;$ 1.282.594;10;a 1,1 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Departamento zona norte cerca estadio kempes; shopping; botanico; estación tren de las sierras;$ 740.750;9,9;a 4,2 km del centro;Departamento de 1 dormitorio;;;;;;;;
