hotel,price,puntuacion,distancia_centro,descripcion
HOTEL RESIDENCIAL CAMACHO,798363,7.1,8.0,Habitación Doble Estándar con baño compartido - 2 camas
Viaggiato Duarte,1311127,9.3,18.0,Departamento de 1 dormitorio
Hotel Petit,1111124,7.0,2.0,Habitación Doble
Convivir Departamentos,1000012,7.7,112.0,Departamento
Rent a Flat,1589228,9.2,13.0,Departamento de 1 dormitorio con balcón
Departamentos Rondeau By Lugar,1220947,7.6,7.0,Departamento Estudio
Go Hostel,817788,7.8,16.0,Habitación Triple
Apartamentos Santa Rosa 2 B T1,1288813,8.3,33.0,Departamento de 1 dormitorio
Link Cordoba Hostel,721975,7.8,8.0,Habitación Doble Estándar - 2 camas
Córdoba Te Espera,656615,8.5,2.0,Habitación Doble - 1 o 2 camas
Amplio depto 2 Dorm Nva Cordoba,851176,,11.0,Departamento de 2 dormitorios
Departamento en Alta Córdoba con patio,671613,9.5,22.0,Departamento de 1 dormitorio
Departamento en Barrio Alberdi,587661,8.0,36.0,Departamento de 1 dormitorio
Exclusivo Duplex Atenea I,778903,9.5,1.0,Departamento de 2 dormitorios
Alquiler Temporal en Nueva Córdoba!,641983,8.9,11.0,Habitación Doble
Cómodo Depto en Nueva Cordoba,818940,8.0,9.0,Departamento de 1 dormitorio
Calasanz,795071,9.7,13.0,Departamento de 1 dormitorio
Departamento luminoso,629637,,24.0,Departamento de 1 dormitorio
Monoambiente Nva Cba,734577,4.0,11.0,Departamento de 1 dormitorio
Studio Chacabuco,909933,5.8,6.0,Loft
Departamento 1 habitación,755565,8.0,5.0,Departamento de 1 dormitorio
Habitación para 2 personas con baño privado,577785,5.8,27.0,Departamento de 1 dormitorio
Dean Funes 1 Habitación,671613,1.0,35.0,Departamento de 2 dormitorios
DPTO 3 CUADRAS SANATORIO ALLENDE - NVA CBA,1143132,7.4,16.0,Departamento de 1 dormitorio
metros Nuevo Centro shopping 2,680255,10.0,22.0,Departamento de 1 dormitorio
HOUSING CORDOBA - Monoambiente,784646,10.0,16.0,Departamento de 1 dormitorio
Dpto en Córdoba capital,1111124,9.0,11.0,Departamento de 1 dormitorio
Los Sueños se cumplen,850134,7.0,5.0,Departamento de 1 dormitorio
Dpto Ambrosio Olmos c/pileta,0,,,etc
Departamento con kitchenet. Entrada independiente.,734577,9.0,36.0,Departamento de 1 dormitorio
Cómodo y completo en el centro departamento,629637,1.0,12.0,Departamento de 1 dormitorio
Apartamento Alberdi Chic C,1045280,10.0,13.0,Departamento de 1 dormitorio
Departamentos en Barrio Gral Paz a pocos metros de clínicas,944456,10.0,21.0,Departamento de 1 dormitorio
Departamento cómodo cerca de todo,703712,1.0,13.0,Departamento de 1 dormitorio
Viaggiato Pio X,800010,8.5,15.0,Departamento de 1 dormitorio
Moderno departamento y cómodo cerca de todo,1000012,5.4,13.0,Departamento de 1 dormitorio
ANIMUS Home,0,,94.0,"a 0,9 km del centro"
1080 Apartments,888899,6.2,15.0,Departamento
Cofico apart,944456,9.5,19.0,Departamento de 1 dormitorio
Nueva Cordoba C/ pileta y asadores - DEPARTAMENTO PREMIUM,1243728,8.5,11.0,Departamento de 1 dormitorio
Dpto p 3 en pleno Nva. Córdoba,922069,9.0,7.0,Departamento de 1 dormitorio
Departamento cómodo muy cerca de todo,696305,7.6,28.0,Departamento de 1 dormitorio
Dpto Bv. San Juan - Córdoba,944456,7.8,12.0,Departamento de 2 dormitorios
Candelaria,1244459,9.8,29.0,Departamento de 1 dormitorio
Edificio La Toma Alto Alberdi Córdoba Argentina,1039025,9.0,33.0,Departamento de 1 dormitorio
Departamento interno con dos camas individuales,692601,9.0,24.0,Departamento de 1 dormitorio
pilay,1030136,6.8,17.0,Departamento de 1 dormitorio
No está disponible no alquilar,1049395,10.0,16.0,Departamento de 2 dormitorios
Temporarios Barrio General Paz,1111124,8.8,21.0,Departamento de 1 dormitorio
Alojamiento Cba Observatorio,822232,8.8,2.0,Departamento con balcón
DPTO C/PILE ASADOR QUINCHO - VISTA A LAS SIERRAS,1165995,8.9,18.0,Departamento de 1 dormitorio
Art & cozy home: ‘studiotubarca’,839516,1.0,500.0,Departamento de 1 dormitorio
Gran Parana,877047,,1.0,Departamento de 1 dormitorio
-El descanso-,1067027,7.0,5.0,Departamento de 2 dormitorios
Departamentos General Paz by Lugar,1165263,10.0,18.0,Departamento de 1 dormitorio
Viaggiato Catamarca,1288904,8.8,27.0,Departamento de 1 dormitorio
Departamento Traful,776552,,24.0,Departamento de 1 dormitorio
mariano moreno,821491,5.9,16.0,Departamento de 1 dormitorio
Cascadas Departamentos,960231,6.6,23.0,Departamento - Planta alta
Temporary Home 4 Pax Centro zona Capitalinas,1282594,10.0,11.0,Departamento de 1 dormitorio
Departamento zona norte cerca estadio kempes,0,,,$ 740.750
Departamento de 1 dormitorio con cochera y piscina,1259274,10.0,79.0,Departamento de 1 dormitorio
HOTEL HM,987666,6.1,1.0,Habitación Triple con baño privado
Dpto tipo Duplex c pileta Nva Cba,1133987,6.0,19.0,Departamento de 1 dormitorio
Novum Suites,927025,6.8,1.0,Habitación Doble Executive
Temporario torres,1209891,1.0,78.0,Departamento de 2 dormitorios
Santorini Bed II,797540,9.0,147.0,Casa de 1 dormitorio
B131 - Argentina,2076842,8.8,450.0,Departamento de 1 dormitorio
Departamentos en Gral Paz a pasos de clínicas,944456,9.8,21.0,Departamento de 1 dormitorio
Departamento Fragata - Alto Alberdi,844454,8.8,33.0,Departamento de 2 dormitorios
Bedoya,1111124,,21.0,Departamento de 1 dormitorio
ARTEDPTO,944456,9.8,117.0,Departamento de 1 dormitorio
Richardson,1007419,1.0,19.0,Departamento de 1 dormitorio
Nueva Córdoba Duomo,1747757,9.2,1.0,Departamento
Departamento Bv Illia By Lugar D276,1165254,10.0,8.0,Departamento de 1 dormitorio
Em Departamento Amoblado Cordoba,1414155,9.4,45.0,Departamento de 1 dormitorio
Espacio C Av Poeta Lugones GRAN VISTA,1265813,9.5,11.0,Departamento de 1 dormitorio
Tiempos Caribu,934350,10.0,13.0,Departamento de 1 dormitorio
alto villa sol,1235497,7.5,79.0,Departamento de 1 dormitorio
Apartamentos Santa Rosa 1B,1067054,8.5,33.0,Departamento de 1 dormitorio
Cordoba Yolanda Hotel,1165446,7.9,2.0,Habitación Doble - 1 o 2 camas
La Vecindad,419758,6.2,39.0,Departamento Superior
